PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=310 ttl=63 时间=87.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=312 ttl=63 时间=85.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=313 ttl=63 时间=85.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=314 ttl=63 时间=85.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=315 ttl=63 时间=86.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=316 ttl=63 时间=85.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=317 ttl=63 时间=0.123 毫秒
64 字节，来自 10.1.1.1: icmp_seq=318 ttl=63 时间=86.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=320 ttl=63 时间=85.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=321 ttl=63 时间=0.138 毫秒
64 字节，来自 10.1.1.1: icmp_seq=322 ttl=63 时间=84.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=323 ttl=63 时间=83.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=324 ttl=63 时间=85.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=326 ttl=63 时间=85.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=327 ttl=63 时间=84.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=328 ttl=63 时间=84.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=329 ttl=63 时间=84.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=330 ttl=63 时间=84.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=331 ttl=63 时间=0.092 毫秒
64 字节，来自 10.1.1.1: icmp_seq=332 ttl=63 时间=84.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=333 ttl=63 时间=84.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=334 ttl=63 时间=85.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=336 ttl=63 时间=83.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=337 ttl=63 时间=84.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=338 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=339 ttl=63 时间=0.131 毫秒
64 字节，来自 10.1.1.1: icmp_seq=340 ttl=63 时间=83.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=341 ttl=63 时间=83.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=342 ttl=63 时间=84.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=343 ttl=63 时间=84.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=344 ttl=63 时间=85.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=345 ttl=63 时间=0.131 毫秒
64 字节，来自 10.1.1.1: icmp_seq=346 ttl=63 时间=83.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=347 ttl=63 时间=0.187 毫秒
64 字节，来自 10.1.1.1: icmp_seq=348 ttl=63 时间=83.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=349 ttl=63 时间=82.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=350 ttl=63 时间=83.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=352 ttl=63 时间=82.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=353 ttl=63 时间=84.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=354 ttl=63 时间=83.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=355 ttl=63 时间=83.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=356 ttl=63 时间=82.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=358 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=360 ttl=63 时间=82.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=361 ttl=63 时间=0.115 毫秒
64 字节，来自 10.1.1.1: icmp_seq=362 ttl=63 时间=81.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=363 ttl=63 时间=83.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=364 ttl=63 时间=81.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=366 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=367 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=368 ttl=63 时间=83.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=369 ttl=63 时间=82.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=370 ttl=63 时间=82.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=371 ttl=63 时间=41.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=372 ttl=63 时间=82.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=374 ttl=63 时间=82.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=375 ttl=63 时间=81.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=376 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=377 ttl=63 时间=40.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=378 ttl=63 时间=82.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=380 ttl=63 时间=81.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=382 ttl=63 时间=81.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=383 ttl=63 时间=0.107 毫秒
64 字节，来自 10.1.1.1: icmp_seq=384 ttl=63 时间=81.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=385 ttl=63 时间=81.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=386 ttl=63 时间=80.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=387 ttl=63 时间=79.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=388 ttl=63 时间=81.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=390 ttl=63 时间=81.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=392 ttl=63 时间=81.3 毫秒
